source_id,teff_gspphot,logg_gspphot,lum_flame,radius_flame
479597523787392,3563.8308,4.7334,0.0572172,0.6243144
481693467823360,4847.883,4.7686,0.12677006,0.5047397
483750756786816,3575.956,4.5255,0.041002456,0.53438777
486533895589248,3212.9954,4.9019,,
487225385689984,5596.343,4.2404,1.620972,1.3832145
494230477735680,4787.5024,4.924,,
499968553203840,5090.427,4.7155,0.57978624,0.98131126
500071632411648,4818.3574,4.8657,,
500999345361920,4266.1523,4.6398,0.1345779,0.6753413
501858338794368,4524.392,4.8657,0.061119534,0.40599057
503443182219776,4907.3164,4.433,0.73394835,1.1911124
503885563390208,4540.8677,4.542,0.2762476,0.8449113
513785463437952,5374.4414,3.58,7.751453,3.219768
514915039403392,3808.1055,4.6393,0.06944426,0.6057676
517629458788992,4924.1235,4.8445,,
518213574338816,6022.9697,4.4922,0.74877906,0.79678184
519351741048064,5119.9556,4.3925,0.5267585,0.92029345
524677500469632,5316.578,4.6979,0.27539945,0.6196519
526047594748544,5451.4727,4.7263,0.270699,0.57987255
526910883482240,5253.5894,4.7439,0.20030133,0.5400649
528933812701184,4352.262,4.9282,,
531480728716160,4483.661,4.5035,0.29058602,0.8942037
533336154555264,5466.9253,4.3434,0.8963263,1.0582947
538004783704832,4394.3267,4.593,0.1517862,0.67132163
538314021134336,5770.387,4.1516,2.283804,1.5391974
539963288811776,5244.2217,4.7753,,
540856642027008,4000.5103,4.587,0.09508701,0.64151615
541509476802432,6034.7354,4.2722,1.789791,1.2240155
543227463967104,4441.6846,4.8115,,
550580447967744,3269.087,4.5647,0.00909692,0.29865864
550653462689408,5392.3096,4.3775,0.87668216,1.0709606
552474528855552,5637.6445,4.6574,0.38798478,0.65136135
554050781571456,3367.1665,4.9042,,
555601264402944,5053.6226,4.6405,0.41757393,0.8639655
558620626768384,5040.265,4.6739,0.36056468,0.80146945
563538364669568,5727.9116,3.989,2.1957586,1.5189096
564397358129664,5625.3154,3.5686,23.026451,5.053588
565703028202368,6189.2754,4.2766,3.5416372,1.6779019
566042330240640,5159.095,4.6358,0.28523958,0.6678215
568554886471936,5024.5317,4.5396,0.3590721,0.79024136
573090371928064,3281.7673,4.9574,,
573296530358400,5620.54,4.5256,0.78454334,0.9355047
575353819369856,4352.372,4.5598,0.18949825,0.76228875
577724641324288,3414.1194,4.7892,0.012884487,0.32646504
579236469436928,3940.7092,4.7979,0.047027066,0.46597183
582642379199232,4882.535,4.542,0.26891696,0.7246433
584669603759616,4182.722,4.6276,0.123661414,0.6691978
588204362061312,3483.366,4.3986,,
590781341526016,4257.832,4.8186,,
593152163509120,5638.406,4.7279,,
593534416249856,4061.7676,4.6326,0.1074816,0.6533655
596588137355520,5265.318,4.7813,,
604422157698944,4063.8796,5.0248,,
606621180976896,3596.4014,4.924,0.023597188,0.40850136
609644837960960,3308.8235,4.4611,,
611981300171520,3216.8623,5.1358,,
612604071065472,4332.9565,4.5499,0.16363038,0.7179759
616516785617408,4531.3496,4.8182,,
619235500540416,5862.851,4.5934,0.55619454,0.72375554
626412390328576,3899.9087,4.5351,0.17027663,0.90325075
630810436859776,3779.3625,4.7785,0.044392824,0.49727622
634143331784576,6906.1846,4.0538,7.660041,1.9344587
636518448915968,5063.0054,4.3136,0.6451546,1.0614419
637338787458688,4327.6387,4.6605,0.15132537,0.6906598
639331652584704,5330.375,4.6927,0.2440099,0.5838413
639988782494592,4946.989,4.6753,0.3946943,0.85624576
640568602868096,4194.1685,4.625,0.1280083,0.6768082
640813416212096,4327.712,4.7272,0.12650692,0.630067
645451980923648,4285.2144,4.6384,0.17607585,0.76048374
645795578269824,4612.447,4.5754,0.2352719,0.749188
652216554475648,3451.1313,4.5694,,
655072707632256,5444.005,4.6466,0.28382468,0.6004891
655652528314496,4556.8945,4.8674,,
657542313928192,5043.8716,4.7926,,
659397739552512,4116.1255,4.7664,0.09498679,0.6055191
660089229432448,5687.769,4.1042,2.7704914,1.7153785
660222373244416,3491.0254,4.598,0.023056814,0.42181543
661085661845248,5304.864,4.6315,0.6905207,0.97412425
662421396533632,4056.2212,5.0114,,
662936792612736,5613.6665,4.7171,0.3230077,0.6014754
664521635681280,6001.7627,3.8642,9.391583,2.8338187
666853802792448,3552.5012,4.3252,,
670599013872384,5024.054,4.7946,,
671973403411712,5494.359,4.2819,1.4069495,1.3162447
674069347838080,3998.5144,5.0107,,
676749407448832,4929.522,4.8635,,
678299890786048,3448.4458,4.5948,0.034665987,0.5220091
679296323199872,5301.5273,4.453,0.6404505,0.94767123
679880438748800,4277.092,4.7089,0.09820848,0.5756016
684789585859840,5511.122,4.7055,,
685957816966528,4106.885,4.9501,,
686099551371392,4634.822,4.7317,0.16897878,0.63952917
686610652355840,4775.3755,4.8899,,
687813243203968,4450.711,4.8594,0.063351065,0.4234475
691936411710976,6329.0347,4.1652,3.3964427,1.5330334
700457626988160,3093.3354,5.1042,,
704649514467072,5125.4336,2.8428,47.656006,8.708331
706195702702720,4528.259,4.8399,0.06321395,0.40838826
707471308717056,5408.1284,4.3239,1.0789441,1.1938128
708158503665664,4291.0127,4.5494,0.16038081,0.7164122
710902986848384,4703.808,4.606,0.2090079,0.689063
711109145305600,3455.467,4.909,,
711697556536064,5713.1924,4.4311,0.90600705,0.9716062
713033290650880,4145.7905,4.7136,0.08026609,0.5997699
716095603037824,5036.6333,3.5861,3.9987924,2.637444
717328257964928,4526.5415,4.5984,0.13728109,0.60245967
719458561765888,4406.2554,4.8139,,
721898103152256,3720.1929,4.7041,0.044304423,0.5060626
723272492698112,3783.5498,4.8544,0.097246334,0.7343636
728636907546752,3386.4312,4.9021,0.014913298,0.35457155
731037793527552,6226.1216,4.215,2.2798808,1.2992293
732102945507712,4467.055,4.4407,0.25884095,0.8512755
734405048006528,5069.6836,4.6759,0.20097534,0.58162814
734714285623424,3905.2327,4.816,0.099323064,0.6886013
735749373385088,4226.769,4.5708,0.27986977,0.98764366
736810229683456,3356.101,4.9317,,
737742237642624,4768.7817,4.7056,0.16248617,0.59149194
737909741197696,5815.6704,4.315,1.4406114,1.1798085
738395073234944,5171.038,4.4383,0.56377345,0.9335022
744163214092160,4493.419,4.8376,,
747294244982784,4262.2476,4.7092,0.15943362,0.73527706
752035889384832,3730.0293,4.7486,0.068863265,0.6362249
756773237677696,3582.2336,4.5869,,
759010916248576,4789.3823,4.5436,0.29718742,0.7900805
761759695320576,5582.5835,4.508,0.5664129,0.80604446
